Date,Year,Type,Country,State,Location,Activity,Sex,Age,Injury,Time
04 Mar 2024,2024.0,Unprovoked,USA,Hawaii,"Old Man's, Waikiki",Surfing,M,,"No injury, shark bit surfboard",
02 Mar-2024,2024.0,Unprovoked,USA,Hawaii,"Rainbows, Oahu",Swimming,F,11,Lacerations to left foot,13h30
30 Dec-2023,2023.0,Unprovoked,USA,Hawaii,"Baby Beach, Maui",Surfing,M,39,FATAL,11h12
05 Nov-2023,2023.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,66,Lacerations to right forearm,10h30
25 Oct 2023,2023.0,Unprovoked,USA,Hawaii,"Pua’ena Point,  Haleiwa, Oahu",Surfing,M,30,Bite to right thigh,15h05
15 Oct 2023,2023.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,50,Left leg and hand injured,16h00
13 Oct-2023,2023.0,Unprovoked,USA,California,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,M,52,Minor linjury to left lower leg ,15h45
02 Oct-2023,2023.0,Unprovoked,USA,Hawaii,"Paia, Maui",Surfing,F,45,Minor injury. Shark bit surfboard,13h00
01 Oct-2023,2023.0,Unprovoked,USA,California,"Wildcat Beach, Marin County",Swimming,M,52,Body not recovered,10h40
18 Sep-2023,2023.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,Non-lifethreatening injuries,16h00
12 Sep-2023,2023.0,Questionable,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,Llacerations to face and chin,07h50
11 Sep-2023,2023.0,Unprovoked,USA,Florida,"Satellite Beach, Brevard County",Surfing,M,,Bite to lower back,
04 Sep 2023,2023.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,30s,Left hand bitten,
04 Sep 2023,2023.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,F,37,Right foot bitten,
23 Aug-2023,2023.0,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,,9,Minor injury to shoulder,09h00
22 Aug-2023,2023.0,Watercraft,USA,California,"Pebble Beach, San Mateo County",Kayak fishing,M,19,"Shark bit kayak, no injury to occupant",13h00
07 Aug-2023,2023.0,Unprovoked,USA,New York,Rockaway,Wading,F,65,Laceration to left posterior thigh,17h50
31 Jul-2023,2023.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Ankle injured,09h30
30 Jul-2023,2023.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Spearfishing,M,22,Lower leg bitten,15h30
29 Jul-2023,2023.0,Unprovoked,USA,Florida,Tampa Bay,Swimming,F,26,Superficial injuries to abomen and thighs,20h00
21 Jul-2023,2023.0,Unprovoked,USA,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boogie boarding,M,60,Right foot injured,13h20
15 Jul-2023,2023.0,Unprovoked,USA,Florida,New Smyrna Beach,Sitting,M,49,Superficial injury to back,14h00
14 Jul-2023,2023.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,21,Severe injury to foot,15h00
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Cherry Grove, Suffolk County",Standing,F,,Puncture wounds to thigh,16h25
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Fire Island Pines, Suffolk County",Swimming,M,49,Injury to right hand,13h55
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Quogue Village Beach, Suffolk County",Swimming,M,47,Laceration to right knee,13h50
03 Jul-2023,2023.0,Unprovoked,USA,New York,"Kismet Beach, Suffolk County",Surfing,M,15,Injury to left heel and toes,17h20
03 Jul-2023,2023.0,Unprovoked,USA,New York,"Beach 3, Robert Moses State Park, Suffolk County",Swimming,F,15,3 small puncture wounds to left leg,13h45
23-Jun-2023,2023.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Swimming,F,!2,Multiple puncture wounds to right thigh,
23-Jun-2023,2023.0,Unprovoked,USA,Florida,"Flamingo Marina, Homestead, Miami-Dade County",Fishing,M,,Hand bitten,10h10
Reported 14-June 2023,2023.0,Unprovoked,USA,Hawaii,Laysan,Filming,M,,Sharks bit their inflatable boats,
21-May 2023,2023.0,Unprovoked,USA,New Jersey,"Stone Harbor, Cape May County",Surfing,F,15,Lacerations to left foot and calf,15h00
19 -May 2023,2023.0,Provoked,USA,Florida,"Flagship Drive, Summerland Key, Monroe County",Fishing,M,35,PROVOKED INCIDENT   Hooked shark bit his foot,20h00
18-May-2023,2023.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Spearfishing,M,20, ,15h00
14-May-2023,2023.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,F,24,Minor inuries to right knee,17h00
11-May-2023,2023.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Sitting,F,13,Multiple bites,Afternoon
11-May-2023,2023.0,Provoked,USA,Hawaii,"Kualoa, Oahu",Kayak fishing,M,,"Shark bit kayak, no inury to occupant",
05-May-2023,2023.0,Unprovoked,USA,Florida,"Davis Reef, Islamorada, Monroe County",Spearfishing,M,22,Injury to lower leg,11h30
23-Apr-2023,2023.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Spearfishing,M,,Minor injury to lower right leg,
11-Apr-2023,2023.0,Unprovoked,USA,Florida,"Virginia Key, Monroe County",Windsurfing,F,50s,Lacerations to leg,15h00
09-Apr-2023,2023.0,Watercraft,USA,Florida,Off Boca Raton. Palm Beach County,Kayak fishing,M,,"No injury, kayak damaged",07h00
09-Apr-2023,2023.0,Unprovoked,USA,Hawaii,"Kewalos, Oahu",Surfing,M,58,Injuries to right foot ,07h00
25-Mar-2023,2023.0,Unprovoked,USA,Florida,"Blue Fish Channel, Key West, Monroe County",Kite-Surfing,M,67,Lacertions to right calf,14h00
19-Mar-2023,2023.0,Unprovoked,USA,Hawaii,Anaehoomalu Bay,Swimming,M,60,Left hand and  left leg.,12h30
19-Feb-2023,2023.0,Unprovoked,USA,Florida,"Jupiter Island, Martin County",Surfing,M,60,Injury to lower leg,17h30
08-Jan--2023,2023.0,Unprovoked,USA,Florida,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",Swimming,M,34,Lacerations to leg,14h00
01-Jan-2023,2023.0,Provoked,USA,Florida,70 miles off Pensacola,Spearishing,M,30,Knocked spear out of his hands and fin bitten,14h50
13-Dec-2022,2022.0,Unprovoked,USA,Hawaii,Anaeho'imalu Bay,Swimming,M,68,"Lower left torso, defensive wounds to hands",08h00
09-Dec-2022,2022.0,Unprovoked,USA,Samoa,Pago Pago Harbor,Diving,M,43,Left leg bitten,12h00
08-Dec-2022,2022.0,Unprovoked,USA,Hawaii,"Keawakapu Point, Kehei, Maui",Snorkeling,F,60,Fatal attack,12h00
07-Dec-2022,2022.0,Unprovoked,USA,Texas,,Surfing,M,,Foot bitten,
27-Nov-2022,2022.0,Unprovoked,USA,Florida,Hobe Sound,Swimming,F,10,Foot bitten,Afternoon
04-Nov-2022,2022.0,Unprovoked,USA,California,"Del Mar Beach, San Diego County",Swimming,F,50,Shallow punctures & lacerations to right thigh,10h00
03-Nov-2022,2022.0,Provoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,29,Right knee & thigh bitten by hooked shark,15h30
31-Oct-2022,2022.0,Unprovoked,USA,California,"Otter Point, Pacific Grove",Surfing,M,,Minor inury from shark's fin,17h17
28-Oct-2022,2022.0,Sea Disaster,USA,Louisiana,25 mikes from Empire,Fishing,M,40,Minor injuries to hands,Morning
27-Oct-2022,2022.0,Provoked,USA,Mississippi,Horn Island,Fishing,M,,Minor injuries,
25 Oct-2022,2022.0,Unprovoked,USA,Hawaii,Kauai,Snorkeling,M,51,"No injury, swim fin bitten",Afternoon
10-Oct-2022,2022.0,Provoked,USA,Florida,"Key Largo, Monroe County",Fishing,M,15,Minor injury to leg by hooked shark,
